,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
54,Midway Studios - Los Angeles,108630,Mixed or average reviews,27,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players 2 Players Online,Midway,https://www.metacritic.com/company/midway,T,Generally unfavorable reviews,26
55,Midway Studios - Los Angeles,111560,Mixed or average reviews,4,"Action, Fighting, Wrestling",,Midway,https://www.metacritic.com/company/midway,T,Mixed or average reviews,8
56,Yuke's,109874,Mixed or average reviews,41,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,68
57,Yuke's,109875,Mixed or average reviews,11,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,48
58,Yuke's,109876,Mixed or average reviews,27,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,53
59,Yuke's,109877,Mixed or average reviews,11,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,23
60,Amaze Entertainment,109901,Mixed or average reviews,12,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,19
61,Yuke's,109902,Mixed or average reviews,13,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,24
62,S-Neo,106362,Generally favorable reviews,12,"Action, Fighting, Wrestling",,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,Generally favorable reviews,18
63,Yuke's,108043,Generally favorable reviews,13,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,32
64,Yuke's,108041,Generally favorable reviews,27,"Action, Fighting, Wrestling",4 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,89
65,Yuke's,108042,Generally favorable reviews,50,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,64
66,Aki Corp.,107224,Generally favorable reviews,25,"Action, Fighting, Fighting, Wrestling, 3D, Wrestling",No Online Multiplayer,EA Games,https://www.metacritic.com/company/ea-games,M,Generally favorable reviews,34
67,Halfbrick Studios,162709,Mixed or average reviews,8,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,E,No user score yet,
68,Konami,107090,Mixed or average reviews,54,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,Konami,https://www.metacritic.com/company/konami,M,Mixed or average reviews,36
69,Yuke's,107081,Generally favorable reviews,30,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,53
70,Yuke's,106998,Generally favorable reviews,45,"Action, Fighting, Wrestling",4 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,136
71,Yuke's,162776,Generally favorable reviews,36,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,271
72,Studio Gigante,162508,Mixed or average reviews,48,"Action, Fighting, Wrestling",4 Players Online,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,50
73,Paradox Development,103984,Generally unfavorable reviews,23,"Action, Fighting, Wrestling",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,M,Generally unfavorable reviews,12
74,Paradox Development,162459,Generally unfavorable reviews,17,"Action, Fighting, Wrestling",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,M,No user score yet,
75,Yuke's,103598,Mixed or average reviews,44,"Action, Fighting, Wrestling",,Konami,https://www.metacritic.com/company/konami,M,Generally favorable reviews,43
76,Yuke's,104073,Generally favorable reviews,46,"Action, Fighting, Wrestling",2 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,115
77,Natsume,162509,Mixed or average reviews,12,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,6
78,Aki Corp.,162413,Generally favorable reviews,33,"Action, Fighting, Wrestling",,EA Games,https://www.metacritic.com/company/ea-games,M,Generally favorable reviews,28
79,Aki Corp.,103800,Generally favorable reviews,46,"Action, Fighting, Wrestling",,EA Games,https://www.metacritic.com/company/ea-games,M,Generally favorable reviews,153
80,Yuke's,162404,Generally favorable reviews,47,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,95
81,Aki Corp.,103743,Mixed or average reviews,12,"Action, Fighting, Wrestling",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,5
82,Acclaim,161868,Mixed or average reviews,33,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,No user score yet,
83,Acclaim,102756,Mixed or average reviews,24,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,8
84,Adam Ryland,103798,Generally favorable reviews,6,"Action, Fighting, Wrestling",,.400 Software Studios,https://www.metacritic.com/company/400-software-studios,,Mixed or average reviews,13
85,Digital Eclipse,162278,Generally unfavorable reviews,13,"Action, Fighting, Wrestling",,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Generally unfavorable reviews,12
86,Yuke's,102820,Generally favorable reviews,27,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,250
87,Paradox Development,161905,Mixed or average reviews,15,"Action, Fighting, Wrestling",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,M,Generally unfavorable reviews,8
88,Paradox Development,102744,Mixed or average reviews,24,"Action, Fighting, Wrestling",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,M,Generally favorable reviews,33
89,Anchor (Legacy),161533,Mixed or average reviews,26,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,31
90,Yuke's,161918,Generally favorable reviews,26,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,52
