,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
203,Digital Fiction,104021,Mixed or average reviews,15,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Generally favorable reviews,22
204,Aki Corp.,162413,Generally favorable reviews,33,"Action, Fighting, Wrestling",,EA Games,https://www.metacritic.com/company/ea-games,M,Generally favorable reviews,28
205,Aki Corp.,103800,Generally favorable reviews,46,"Action, Fighting, Wrestling",,EA Games,https://www.metacritic.com/company/ea-games,M,Generally favorable reviews,153
206,Arc System Works,162350,Generally favorable reviews,34,"Action, Fighting, 2D",,Majesco Games,https://www.metacritic.com/company/majesco-games,T,Mixed or average reviews,17
207,Black Ship Games,162190,Mixed or average reviews,5,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,13
208,Black Ship Games,104388,Mixed or average reviews,9,"Action, Fighting, 3D",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,52
209,Black Ship Games,162303,Mixed or average reviews,8,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,6
210,Yuke's,162404,Generally favorable reviews,47,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,95
211,Bandai,162443,Mixed or average reviews,9,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,T,Mixed or average reviews,10
212,Aki Corp.,103743,Mixed or average reviews,12,"Action, Fighting, Wrestling",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,5
213,Arc System Works,162345,Mixed or average reviews,26,"Action, Fighting, 2D",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,34
214,Acclaim,161868,Mixed or average reviews,33,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,No user score yet,
215,Acclaim,102756,Mixed or average reviews,24,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,8
216,Noise Inc.,162142,Mixed or average reviews,31,"Action, Fighting, 3D",,Nintendo,https://www.metacritic.com/company/nintendo,T,Generally favorable reviews,36
217,Opus,103135,Mixed or average reviews,29,"Action, Fighting, 3D",,Global Star Software,https://www.metacritic.com/company/global-star-software,T,Generally favorable reviews,8
218,Adam Ryland,103798,Generally favorable reviews,6,"Action, Fighting, Wrestling",,.400 Software Studios,https://www.metacritic.com/company/400-software-studios,,Mixed or average reviews,13
219,Capcom,102830,Mixed or average reviews,33,"Action, Fighting, 3D",,Capcom,https://www.metacritic.com/company/capcom,T,Mixed or average reviews,10
220,Sonic Team,162058,Mixed or average reviews,28,"Action, Fighting, 2D",,THQ,https://www.metacritic.com/company/thq,E,Generally favorable reviews,56
221,Diversions Entertainment,101383,Mixed or average reviews,19,"Action, Fighting, Fighting, 3D, 3D",,Diversions Entertainment,https://www.metacritic.com/company/diversions-entertainment,T,Mixed or average reviews,18
