,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
113,Bethesda Softworks,102965,Generally favorable reviews,16,"Role-Playing, First-Person, First-Person, Western-Style",,Bethesda Softworks,https://www.metacritic.com/company/bethesda-softworks,T,Generally favorable reviews,106.0
114,Nfusion,102214,Generally favorable reviews,8,"Action, Shooter, Shooter, First-Person, Tactical, Historic, Historic",,"Atari, Infogrames",https://www.metacritic.com/company/atari,T,Mixed or average reviews,10.0
115,Torus Games,161657,Generally favorable reviews,12,"Action, Shooter, First-Person, Sci-Fi",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,62.0
116,4X Studios,102394,Mixed or average reviews,16,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,M,Mixed or average reviews,30.0
117,Free Radical Design,161444,Generally favorable reviews,20,"Action, Shooter, First-Person, Sci-Fi",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Mixed or average reviews,44.0
118,Free Radical Design,161443,Generally favorable reviews,18,"Action, Shooter, First-Person, Sci-Fi",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Generally favorable reviews,92.0
119,Volition Inc.,102063,Generally favorable reviews,30,"Action, Shooter, First-Person, Sci-Fi",,THQ,https://www.metacritic.com/company/thq,M,Generally favorable reviews,45.0
120,FUN Labs,102443,Generally unfavorable reviews,4,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,"Activision, Activision Value",https://www.metacritic.com/company/activision,M,Generally unfavorable reviews,11.0
121,Free Radical Design,101726,Universal acclaim,33,"Action, Shooter, First-Person, Sci-Fi",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Generally favorable reviews,187.0
122,Digital Extremes,102045,Generally favorable reviews,27,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,"Atari, Infogrames, Atari SA",https://www.metacritic.com/company/atari,M,Generally favorable reviews,138.0
123,Monolith Productions,101857,Universal acclaim,29,"Action, Action Adventure, Shooter, General, Shooter, First-Person, Modern, Modern, Arcade",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,Generally favorable reviews,257.0
124,Red Storm Entertainment,102953,Generally favorable reviews,16,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Mixed or average reviews,19.0
125,Rage Software,101491,Mixed or average reviews,10,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",No Online Multiplayer,Hip Games,https://www.metacritic.com/company/hip-games,T,Mixed or average reviews,10.0
126,Digital Extremes,161112,Generally favorable reviews,29,"Action, Shooter, First-Person, Sci-Fi",,Atari,https://www.metacritic.com/company/atari,M,Generally favorable reviews,21.0
127,Legacy Interactive,101841,Mixed or average reviews,14,"Adventure, 3D, First-Person, Modern, Modern",,Legacy Interactive,https://www.metacritic.com/company/legacy-interactive,T,Generally favorable reviews,15.0
128,Midway Studios - Austin,101693,Mixed or average reviews,23,"Action, Shooter, First-Person, Sci-Fi",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,T,Generally favorable reviews,45.0
129,7FX,101524,Generally unfavorable reviews,4,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,M,No user score yet,
130,Presto Studios,161046,Mixed or average reviews,11,"Adventure, First-Person, Fantasy",,Ubisoft,https://www.metacritic.com/company/ubisoft,E,No user score yet,
131,Presto Studios,102963,Mixed or average reviews,9,"Adventure, First-Person, Fantasy",,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Mixed or average reviews,5.0
132,Paradigm Entertainment,161337,Mixed or average reviews,19,"Action, Shooter, First-Person, Sci-Fi",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,7.0
133,Crawfish Interactive,161580,Mixed or average reviews,7,"Action, Shooter, First-Person, Sci-Fi",,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,T,Mixed or average reviews,7.0
