,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
944,Swing Swing Submarine,163745,Generally favorable reviews,27,"Platformer, 2D, Action, Action Adventure, Platformer, Open-World, 2D, Metroidvania",No Online Multiplayer,Focus Home Interactive,https://www.metacritic.com/company/focus-home-interactive,,Mixed or average reviews,40.0
945,Inti Creates,254279,Mixed or average reviews,13,"Platformer, 2D, Action, Platformer, 2D",,Deep Silver,https://www.metacritic.com/company/deep-silver,E10+,Generally unfavorable reviews,112.0
946,Inti Creates,257994,Generally unfavorable reviews,9,"Platformer, 2D, Action, Platformer, 2D",,Deep Silver,https://www.metacritic.com/company/deep-silver,E10+,Generally unfavorable reviews,110.0
947,Inti Creates,257250,Mixed or average reviews,64,"Platformer, 2D, Action, Platformer, 2D",2 Players,Deep Silver,https://www.metacritic.com/company/deep-silver,E10+,Generally unfavorable reviews,369.0
948,Inti Creates,258286,Mixed or average reviews,18,"Platformer, 2D, Action, Platformer, 2D",Online Multiplayer,Deep Silver,https://www.metacritic.com/company/deep-silver,E10+,Generally unfavorable reviews,186.0
949,Jonathan Lavigne,243429,Mixed or average reviews,6,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,"Tribute Games, Jonathan Lavigne",https://www.metacritic.com/company/tribute-games,,No user score yet,
950,"Just Add Water, Nephilm Studios",245755,Generally favorable reviews,6,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,Oddworld Inhabitants,https://www.metacritic.com/company/oddworld-inhabitants,T,Generally favorable reviews,22.0
951,Oxeye,190064,Mixed or average reviews,13,"Action, Platformer, Platformer, 2D, 2D",,Mojang AB,https://www.metacritic.com/company/mojang-ab,,Mixed or average reviews,21.0
952,Oxeye,252893,Mixed or average reviews,13,"Action, Platformer, Platformer, 2D, 2D",,Mojang AB,https://www.metacritic.com/company/mojang-ab,E10+,Mixed or average reviews,19.0
953,"Just Add Water, Nephilm Studios",221316,Generally favorable reviews,5,"Platformer, 2D, Action, Platformer, 2D",,"Oddworld Inhabitants, Limited Run Games",https://www.metacritic.com/company/oddworld-inhabitants,T,Generally favorable reviews,26.0
954,Good-Feel,232043,Generally favorable reviews,83,"Action Adventure, Platformer, 2D, Fantasy, Action, Platformer, 2D",,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,479.0
955,Asteroid Base,230484,Generally favorable reviews,16,"Action, Platformer, Platformer, Shooter, 2D, 2D, Shoot-'Em-Up, Horizontal",No Online Multiplayer,Asteroid Base,https://www.metacritic.com/company/asteroid-base,,Generally favorable reviews,37.0
956,Metanet Software Inc.,252879,Generally favorable reviews,47,"Platformer, 2D, Action, Platformer, 2D",,Metanet Software Inc.,https://www.metacritic.com/company/metanet-software-inc,E10+,Mixed or average reviews,68.0
957,PixelNAUTS,237878,Mixed or average reviews,6,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,PixelNAUTS,https://www.metacritic.com/company/pixelnauts,,Generally favorable reviews,5.0
958,FreakZone,246135,Generally favorable reviews,5,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,ScrewAttack LLC,https://www.metacritic.com/company/screwattack-llc,M,Generally favorable reviews,31.0
959,Rock Pocket Games,230216,Mixed or average reviews,5,"Action, Platformer, Platformer, 2D, 2D",,Rock Pocket Games,https://www.metacritic.com/company/rock-pocket-games,T,Mixed or average reviews,7.0
960,Just Add Water,221313,Generally favorable reviews,13,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,Oddworld Inhabitants,https://www.metacritic.com/company/oddworld-inhabitants,T,Generally favorable reviews,196.0
961,Moon Spider Studio,219053,Mixed or average reviews,17,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,Moon Spider Studio,https://www.metacritic.com/company/moon-spider-studio,,Mixed or average reviews,11.0
962,Alientrap,205991,Generally favorable reviews,30,"Platformer, 2D, Platformer, Action, Beat-'Em-Up, 2D",No Online Multiplayer,Alientrap,https://www.metacritic.com/company/alientrap,T,Generally favorable reviews,207.0
963,Just Add Water,200785,Mixed or average reviews,8,"Action, Platformer, 2D, Sci-Fi, 3D, Platformer, 2D, Action Adventure, General",No Online Multiplayer,Oddworld Inhabitants,https://www.metacritic.com/company/oddworld-inhabitants,T,Generally favorable reviews,14.0
