,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
419,Backbone Entertainment,145647,Mixed or average reviews,5,"Strategy, Real-Time, Military, General, Military",,Hudson Entertainment,https://www.metacritic.com/company/hudson-entertainment,E10+,No user score yet,
420,Electronic Arts,146828,Mixed or average reviews,4,"Strategy, Real-Time, Sci-Fi",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,,No user score yet,
421,PopCap,147736,Universal acclaim,4,"Strategy, Miscellaneous, Real-Time, Puzzle, Puzzle, General, Fantasy",,PopCap,https://www.metacritic.com/company/popcap,,Generally favorable reviews,46.0
422,Code Force,133519,Generally favorable reviews,4,"Strategy, Real-Time, Sci-Fi, General",,Matrix Games,https://www.metacritic.com/company/matrix-games,,Generally favorable reviews,58.0
423,Gas Powered Games,115194,Generally favorable reviews,28,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",Up to 4 Players,Square Enix,https://www.metacritic.com/company/square-enix,E10+,Mixed or average reviews,26.0
424,EA LA,115381,Mixed or average reviews,71,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally unfavorable reviews,714.0
425,Ubisoft,149251,Generally favorable reviews,6,"Simulation, Strategy, Real-Time, General, General, Historic",,Ubisoft,https://www.metacritic.com/company/ubisoft,,No user score yet,
426,Cadenza,146793,Generally favorable reviews,7,"Strategy, Real-Time, Sci-Fi, General",,Cadenza,https://www.metacritic.com/company/cadenza,,Generally favorable reviews,51.0
427,Wargaming.net,135409,Mixed or average reviews,4,"Strategy, Real-Time, Historic, General",,Wargaming.net,https://www.metacritic.com/company/wargamingnet,,Mixed or average reviews,15.0
428,"Relic, Relic Entertainment",126325,Generally favorable reviews,50,"Strategy, Real-Time, Fantasy, General, Fantasy",,THQ,https://www.metacritic.com/company/thq,M,Generally favorable reviews,326.0
