,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
1359,Epiphany Games,228099,Generally unfavorable reviews,5,"Fantasy, Fantasy, Strategy, Real-Time, General",,Immanitas Entertainment,https://www.metacritic.com/company/immanitas-entertainment,,Generally unfavorable reviews,28.0
1360,Ninja Kiwi,226275,Generally favorable reviews,4,"Action, Strategy, General, Real-Time, General, Defense",,Ninja Kiwi,https://www.metacritic.com/company/ninja-kiwi,,Generally favorable reviews,33.0
1361,Targem Games,219487,Mixed or average reviews,6,"Strategy, General, General",,TopWare Interactive,https://www.metacritic.com/company/topware-interactive,E,Mixed or average reviews,9.0
1362,Gameloft,225064,Mixed or average reviews,6,"Strategy, Miscellaneous, Edutainment, Edutainment, Management, Government",Friend System Only,Gameloft,https://www.metacritic.com/company/gameloft,,Mixed or average reviews,55.0
1363,"Rovio Mobile, Rovio Entertainment",222042,Generally favorable reviews,22,"Strategy, Puzzle, Action, General, General",,"Rovio Mobile, Rovio Entertainment",https://www.metacritic.com/company/rovio-mobile,,Mixed or average reviews,78.0
1364,ApolloSoft,214053,Mixed or average reviews,4,"Role-Playing, Strategy, Turn-Based, General, Fantasy, Tactics",,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Generally favorable reviews,19.0
1365,Marvelous AQL,193396,Mixed or average reviews,21,"Strategy, Breeding/Constructing, General, Management, Breeding/Constructing, Business / Tycoon",Up to 4 Players,Natsume,https://www.metacritic.com/company/natsume,E,Generally favorable reviews,72.0
1366,"Atari, Atari SA",294171,Generally unfavorable reviews,13,"Strategy, Management, Tycoon, Business / Tycoon",,"Atari, Atari SA",https://www.metacritic.com/company/atari,,Overwhelming dislike,96.0
1367,Elder Games,299885,Generally unfavorable reviews,4,"Strategy, Real-Time, Sci-Fi, Command",No Online Multiplayer,Merge Games,https://www.metacritic.com/company/merge-games,,Mixed or average reviews,14.0
1368,Eutechnyx,302989,Mixed or average reviews,5,"Strategy, Real-Time, MOBA",,Eutechnyx,https://www.metacritic.com/company/eutechnyx,,No user score yet,
1369,Subset Games,293036,Generally favorable reviews,17,"Simulation, Strategy, Real-Time, Sci-Fi, Space, General, Small Spaceship, Combat",,Subset Games,https://www.metacritic.com/company/subset-games,,Generally favorable reviews,78.0
1370,"Cliffhanger Productions, Cliffhanger Productions",216750,Mixed or average reviews,21,"General, Strategy, Adventure, Turn-Based, General, Tactics",,"Cliffhanger Productions, Cliffhanger Productions",https://www.metacritic.com/company/cliffhanger-productions,,Mixed or average reviews,54.0
1371,Triumph Studios,237805,Generally favorable reviews,35,"Strategy, Turn-Based, Fantasy, General, Fantasy",,Triumph Studios,https://www.metacritic.com/company/triumph-studios,T,Generally favorable reviews,623.0
1372,Stardock,299875,Generally favorable reviews,31,"Strategy, Turn-Based, General, 4X",Online Multiplayer,Stardock,https://www.metacritic.com/company/stardock,E10+,Mixed or average reviews,254.0
1373,,300423,Mixed or average reviews,10,"Action, Strategy, Turn-Based, General, Card Battle",,LucasArts,https://www.metacritic.com/company/lucasarts,,No user score yet,
1374,,299866,Mixed or average reviews,14,"Action, Strategy, Real-Time, General, Command",,Supercell,https://www.metacritic.com/company/supercell,,Mixed or average reviews,56.0
1375,Disruptor Beam,299877,Mixed or average reviews,7,"Action, Strategy, General",,Kongregate,https://www.metacritic.com/company/kongregate,,Mixed or average reviews,8.0
1376,Hi-Rez Studios,186818,Generally favorable reviews,18,"Role-Playing, Strategy, Real-Time, Massively Multiplayer Online, Fantasy, MOBA, MOBA",,Hi-Rez Studios,https://www.metacritic.com/company/hi-rez-studios,T,Generally favorable reviews,955.0
1377,Koei Tecmo Games,256476,Mixed or average reviews,19,"Action Adventure, Modern, Strategy, General",,"Tecmo Koei America Corp., Tecmo Koei Games",https://www.metacritic.com/company/tecmo-koei-america-corp,M,Mixed or average reviews,55.0
1378,Koei Tecmo Games,256477,Mixed or average reviews,19,"General, Strategy, General",,"Tecmo Koei America Corp., Tecmo Koei Games",https://www.metacritic.com/company/tecmo-koei-america-corp,M,Generally favorable reviews,29.0
1379,Paradox Development Studio,281073,Generally favorable reviews,4,"Strategy, Real-Time, General, Historic",,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,,Mixed or average reviews,19.0
1380,Q Entertainment,245745,Mixed or average reviews,13,"Action, General, Strategy, Turn-Based, General, Fantasy",,SCEA,https://www.metacritic.com/company/scea,T,Mixed or average reviews,41.0
1381,"1C, 1C Entertainment",250860,Mixed or average reviews,17,"Strategy, Real-Time, Military, General, Military",,"1C, 1C Entertainment",https://www.metacritic.com/company/1c,,Mixed or average reviews,143.0
1382,Fun Unit Inc,289933,Mixed or average reviews,8,"Action, Strategy, Real-Time, General, Defense",Up to 4 Players,Teyon,https://www.metacritic.com/company/teyon,E10+,No user score yet,
1383,Wyrmbyte,293557,Generally unfavorable reviews,4,"Strategy, Real-Time, MOBA",,Versus Evil,https://www.metacritic.com/company/versus-evil,,Mixed or average reviews,17.0
1384,Blizzard Entertainment,238923,Generally favorable reviews,42,"Card Battle, Strategy, Miscellaneous, Turn-Based, Card Battle",2 Players,Blizzard Entertainment,https://www.metacritic.com/company/blizzard-entertainment,T,Mixed or average reviews,2345.0
1385,Rocket Bear Games,184203,Generally favorable reviews,13,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",No Online Multiplayer,Rocket Bear Games,https://www.metacritic.com/company/rocket-bear-games,,Generally favorable reviews,48.0
1386,"Abstraction Games, Ronimo Games",285266,Mixed or average reviews,7,"Strategy, Real-Time, MOBA",Up to 6 Players,"Ronimo Games, Play It!",https://www.metacritic.com/company/ronimo-games,T,Mixed or average reviews,85.0
1387,,287153,Mixed or average reviews,9,"Action, Strategy, General, Management, Business / Tycoon",,"NimbleBit, NimbleBit LLC",https://www.metacritic.com/company/nimblebit,,No user score yet,
1388,Eutechnyx,287159,Generally unfavorable reviews,6,"Strategy, Real-Time, MOBA",,Eutechnyx,https://www.metacritic.com/company/eutechnyx,,Overwhelming dislike,26.0
1389,Harebrained Schemes LLC,252665,Generally favorable reviews,24,"General, Role-Playing, Strategy, Turn-Based, General, Tactics",,Harebrained Schemes LLC,https://www.metacritic.com/company/harebrained-schemes-llc,,Generally favorable reviews,267.0
1390,,287158,Mixed or average reviews,4,"Action, Strategy, Real-Time, General",,Flaregames,https://www.metacritic.com/company/flaregames,,Generally unfavorable reviews,6.0
