,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
1785,507702,SkyGoblin,https://www.metacritic.com/company/skygoblin,,SkyGoblin,"Adventure, General, Point-and-Click",No Online Multiplayer,Generally favorable reviews,5.0,Mixed or average reviews,5.0
1786,512089,Terrible Toybox,https://www.metacritic.com/company/terrible-toybox,T,"Ron Gilbert and Gary Winnick, Terrible Toybox","Adventure, Point-and-Click",No Online Multiplayer,Generally favorable reviews,9.0,Generally favorable reviews,91.0
1787,513886,Playdius,https://www.metacritic.com/company/playdius,,Accidental Queens,"Adventure, General",No Online Multiplayer,Mixed or average reviews,6.0,Mixed or average reviews,8.0
1788,514773,Buka Entertainment,https://www.metacritic.com/company/buka-entertainment,,"Epic LLama, Epic llama warchief, Epic Llama Games","Adventure, General, Point-and-Click",No Online Multiplayer,Mixed or average reviews,6.0,Generally favorable reviews,20.0
1789,515751,Plug In Digital,https://www.metacritic.com/company/plug-in-digital,,Accidental Queens,"Adventure, General",,Generally favorable reviews,5.0,No user score yet,
1790,515390,Telltale Games,https://www.metacritic.com/company/telltale-games,,Telltale Games,"Adventure, Point-and-Click",,Mixed or average reviews,8.0,Generally favorable reviews,30.0
1791,515399,Telltale Games,https://www.metacritic.com/company/telltale-games,E10+,Telltale Games,"Adventure, Point-and-Click",,Mixed or average reviews,5.0,Mixed or average reviews,9.0
1792,515400,Telltale Games,https://www.metacritic.com/company/telltale-games,E10+,Telltale Games,"Adventure, Point-and-Click",,Mixed or average reviews,4.0,Mixed or average reviews,12.0
1793,514200,Degica,https://www.metacritic.com/company/degica,,age,"Adventure, Visual Novel",No Online Multiplayer,Generally favorable reviews,6.0,Generally favorable reviews,39.0
1794,513365,Square Enix,https://www.metacritic.com/company/square-enix,M,"Square Enix, Cherrymochi","Adventure, Point-and-Click",No Online Multiplayer,Mixed or average reviews,20.0,Generally favorable reviews,34.0
1795,513366,Wales Interactive,https://www.metacritic.com/company/wales-interactive,M,Wales Interactive,"Adventure, 3D, First-Person",,Mixed or average reviews,4.0,No user score yet,
1796,510443,505 Games,https://www.metacritic.com/company/505-games,E,Ovosonico,"Adventure, General, 3D, Third-Person",No Online Multiplayer,Generally favorable reviews,31.0,Mixed or average reviews,56.0
1797,513502,"Cyan, Inc.",https://www.metacritic.com/company/cyan-inc,E10+,"Cyan, Inc.","Adventure, 3D, First-Person",No Online Multiplayer,Mixed or average reviews,5.0,Mixed or average reviews,18.0
1798,506444,Telltale Games,https://www.metacritic.com/company/telltale-games,E10+,Telltale Games,"Adventure, Point-and-Click",No Online Multiplayer,Mixed or average reviews,5.0,Mixed or average reviews,80.0
1799,513776,Mike Bithell,https://www.metacritic.com/company/mike-bithell,,Mike Bithell,"Adventure, General, Visual Novel",No Online Multiplayer,Generally favorable reviews,6.0,Mixed or average reviews,24.0
1800,512937,"Daedalic Entertainment, Kalypso",https://www.metacritic.com/company/daedalic-entertainment,M,Kalypso,"Adventure, Visual Novel",,Generally favorable reviews,11.0,Generally favorable reviews,15.0
1801,509924,Aspyr,https://www.metacritic.com/company/aspyr,M,Bloober Team,"Adventure, 3D, First-Person",No Online Multiplayer,Generally favorable reviews,8.0,Mixed or average reviews,62.0
1802,509434,Daedalic Entertainment,https://www.metacritic.com/company/daedalic-entertainment,M,Daedalic Entertainment,"Adventure, Visual Novel",No Online Multiplayer,Generally favorable reviews,20.0,Generally favorable reviews,87.0
1803,512487,Telltale Games,https://www.metacritic.com/company/telltale-games,M,Telltale Games,"Adventure, Point-and-Click",No Online Multiplayer,Generally favorable reviews,9.0,Generally favorable reviews,177.0
1804,512488,Telltale Games,https://www.metacritic.com/company/telltale-games,M,Telltale Games,"Adventure, Point-and-Click",No Online Multiplayer,Mixed or average reviews,8.0,Mixed or average reviews,26.0
1805,512489,Telltale Games,https://www.metacritic.com/company/telltale-games,M,Telltale Games,"Adventure, Point-and-Click",No Online Multiplayer,Generally favorable reviews,34.0,Mixed or average reviews,61.0
1806,512490,Telltale Games,https://www.metacritic.com/company/telltale-games,M,Telltale Games,"Adventure, Point-and-Click",No Online Multiplayer,Generally favorable reviews,9.0,Generally unfavorable reviews,19.0
1807,480942,"The Fullbright Company, Fullbright",https://www.metacritic.com/company/the-fullbright-company,T,"The Fullbright Company, Fullbright","Adventure, General",,Generally favorable reviews,20.0,Mixed or average reviews,59.0
1808,414425,"The Fullbright Company, Fullbright",https://www.metacritic.com/company/the-fullbright-company,,"The Fullbright Company, Fullbright","Adventure, General",No Online Multiplayer,Generally favorable reviews,56.0,Mixed or average reviews,158.0
