,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
873,EA Redwood Shores,108651,Mixed or average reviews,12,"Sports, Traditional, Individual, Golf, Sim, Sim",4 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,22
874,Telenet Japan,108512,Mixed or average reviews,11,"Sports, Traditional, Golf, Sim",,Aksys Games,https://www.metacritic.com/company/aksys-games,E10+,No user score yet,
875,EA Canada,163075,Generally favorable reviews,11,"Sports, Traditional, Soccer, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,15
876,EA Sports,163076,Generally favorable reviews,23,"Sports, Traditional, Soccer, Sim",4 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,16
877,EA Sports,108640,Generally favorable reviews,16,"Sports, Traditional, Team, Soccer, Sim, Sim",4 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,85
878,EA Canada,108520,Mixed or average reviews,8,"Sports, Traditional, Team, Soccer, Sim, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,10
879,Team Fusion,108521,Generally favorable reviews,25,"Sports, Traditional, Soccer, Sim",4 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,74
880,Kush Games,108432,Mixed or average reviews,12,"Sports, Traditional, Ice Hockey, Sim",10 Players Online,2K Sports,https://www.metacritic.com/company/2k-sports,E10+,Generally favorable reviews,8
881,DSI Games,163067,Generally unfavorable reviews,4,"Sports, Traditional, Basketball, Arcade",,DSI Games,https://www.metacritic.com/company/dsi-games,E,No user score yet,
882,EA Sports,163079,Mixed or average reviews,14,"Sports, Traditional, Basketball, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,14
883,"Kush Games, Visual Concepts",163094,Generally favorable reviews,8,"Sports, Traditional, Basketball, Sim",10 Players Online,2K Sports,https://www.metacritic.com/company/2k-sports,E,Generally favorable reviews,6
884,EA Sports,108642,Mixed or average reviews,9,"Sports, Traditional, Team, Basketball, Sim, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally unfavorable reviews,30
885,SCEA,108179,Mixed or average reviews,24,"Sports, Traditional, Basketball, Sim",2 Players Online,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,5
